Ah1m,20.626438 A
Ah2m,0.378850 A
Ah3m,0.158250 A
Ah4m,0.247595 A
Ah5m,0.793647 A
Ah6m,0.211092 A
Ah7m,0.339632 A
Ah8m,0.113272 A
Ah9m,0.188219 A
Ah10m,0.059001 A
Ah11m,0.253606 A
Ah12m,0.135308 A
Ah13m,0.119730 A
Ah14m,0.115812 A
Ah15m,0.121391 A
Ah16m,0.094386 A
Ah17m,0.130657 A
Ah18m,0.164543 A
Ah19m,0.172826 A
Ah20m,0.071418 A
