Tektronix PWRVIEW measurement snap-shot
Created, Thursday, 28 August 2014, 14:33:35
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Vh30m,20.851 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh30p,129.74 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh31m,217.44 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh31p,-32.798 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh32m,13.724 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh32p,-113.59 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh33m,134.04 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh33p,-6.9309 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh34m,8.3798 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh34p,125.85 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh35m,126.29 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh35p,-94.703 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh36m,6.6090 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh36p,27.301 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh37m,117.90 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh37p,-50.174 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh38m,6.4255 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh38p,-168.62 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh39m,45.980 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh39p,-39.237 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh40m,9.2080 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh40p,48.708 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh41m,97.893 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh41p,-48.392 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh42m,5.3655 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh42p,-72.359 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh43m,38.550 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh43p,-19.652 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh44m,4.0984 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh44p,95.005 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh45m,52.302 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh45p,-56.667 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh46m,7.7067 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh46p,-13.152 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh47m,73.034 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh47p,-23.806 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh48m,10.383 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh48p,-167.19 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh49m,37.218 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh49p,-20.230 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh50m,14.511 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh50p,94.119 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah1m,2.3859 A   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah1p,2.6374 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah2m,33.723 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah2p,-101.82 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah3m,260.88 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah3p,-172.02 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah4m,35.308 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah4p,69.879 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah5m,53.243 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah5p,-88.959 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah6m,29.732 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah6p,-124.67 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah7m,99.169 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah7p,153.13 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah8m,31.810 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah8p,50.034 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah9m,67.684 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah9p,-145.73 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah10m,24.679 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah10p,-146.18 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah11m,54.233 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah11p,136.21 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah12m,24.154 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah12p,23.800 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah13m,33.153 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah13p,-130.68 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah14m,19.201 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah14p,-166.07 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah15m,5.4451 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah15p,175.05 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah16m,17.732 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah16p,4.0568 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah17m,24.858 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah17p,-120.59 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah18m,12.471 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah18p,178.62 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah19m,5.4762 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah19p,-108.15 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah20m,11.937 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah20p,-6.7903 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah21m,19.021 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah21p,-6.3620 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah22m,7.0889 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah22p,177.50 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah23m,5.5889 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah23p,60.850 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah24m,4.5779 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah24p,36.464 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah25m,18.740 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah25p,-27.494 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah26m,4.9988 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah26p,-106.94 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah27m,12.209 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah27p,74.832 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah28m,3.1683 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah28p,69.820 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah29m,1.8208 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah29p,148.86 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah30m,5.4611 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah30p,-104.04 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah31m,5.8395 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah31p,107.26 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah32m,2.8997 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah32p,72.481 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah33m,4.4558 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah33p,63.105 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah34m,4.6193 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah34p,-107.51 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah35m,6.3104 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah35p,-167.92 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah36m,2.2229 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah36p,81.298 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah37m,484.13 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah37p,37.305 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah38m,3.1107 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah38p,-116.39 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah39m,5.6776 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah39p,167.52 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah40m,1.4128 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah40p,126.27 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah41m,429.64 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah41p,104.35 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah42m,1.2653 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah42p,-109.99 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah43m,3.2321 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah43p,-177.70 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah44m,2.0690 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah44p,165.14 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah45m,417.81 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah45p,131.83 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah46m,215.25 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah46p,-6.7856 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah47m,667.55 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah47p,16.754 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah48m,2.4132 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah48p,170.41 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah49m,2.5669 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah49p,61.888 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah50m,612.53 μA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah50p,141.16 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh1m,284.12 W   ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh2m,592.95 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh3m,-167.49 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh4m,-2.5034 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh5m,81.852 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh6m,-964.16 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh7m,4.3346 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh8m,-922.41 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh9m,66.254 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh10m,-991.16 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh11m,16.069 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh12m,-331.33 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh13m,1.9360 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh14m,-329.96 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh15m,-392.20 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh16m,-159.48 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh17m,4.2425 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh18m,-270.11 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh19m,3.4214 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh20m,154.14 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh21m,14.059 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh22m,-47.284 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh23m,-175.98 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh24m,-31.469 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh25m,7.4819 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh26m,-48.585 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh27m,544.31 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh28m,-40.292 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh29m,166.53 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh30m,-67.284 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh31m,-973.52 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh32m,-39.572 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh33m,203.92 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh34m,-23.101 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh35m,230.11 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh36m,8.6359 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh37m,2.5106 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh38m,12.242 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh39m,-233.10 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh40m,2.8019 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh41m,-37.388 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh42m,5.3766 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh43m,-115.56 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh44m,2.8814 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh45m,-21.612 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh46m,1.6486 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh47m,37.040 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh48m,23.166 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh49m,13.101 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh50m,6.0572 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
