Tektronix PWRVIEW measurement snap-shot
Created, Thursday, 28 August 2014, 14:31:23
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Vh30m,24.122 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh30p,80.947 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh31m,183.09 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh31p,-37.284 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh32m,9.3142 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh32p,-86.163 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh33m,144.48 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh33p,-2.6199 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh34m,7.3446 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh34p,131.08 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh35m,145.95 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh35p,-113.43 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh36m,8.5807 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh36p,41.786 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh37m,111.12 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh37p,-59.737 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh38m,4.5934 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh38p,124.23 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh39m,40.612 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh39p,-71.124 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh40m,2.4673 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh40p,10.496 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh41m,74.867 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh41p,-62.475 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh42m,2.0977 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh42p,-171.67 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh43m,44.718 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh43p,-33.699 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh44m,4.9665 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh44p,-62.716 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh45m,35.126 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh45p,-73.546 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh46m,1.9030 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh46p,-96.633 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh47m,71.689 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh47p,-27.483 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh48m,10.082 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh48p,-136.83 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh49m,36.907 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh49p,-9.9780 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh50m,9.3568 mV  ,,,,,,,,,,,,,,,,,,,,,,,,,
Vh50p,166.45 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah1m,34.401 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah1p,-5.7364 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah2m,33.899 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah2p,-101.59 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah3m,33.473 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah3p,162.68 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah4m,31.517 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah4p,66.092 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah5m,32.097 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah5p,-28.766 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah6m,31.185 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah6p,-124.47 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah7m,30.127 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah7p,139.91 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah8m,27.873 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah8p,42.644 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah9m,27.629 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah9p,-51.102 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah10m,26.242 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah10p,-146.48 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah11m,24.774 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah11p,118.28 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah12m,22.554 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
